2021-09-22 08:49:11 INFO  GUI:176 - javax.swing.JTextField[,0,19,195x20,invalid,layout=javax.swing.plaf.basic.BasicTextUI$UpdateHandler,alignmentX=0.0,alignmentY=0.0,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@96c49ed,flags=296,maximumSize=,minimumSize=,preferredSize=,caretColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],disabledTextColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],editable=true,margin=javax.swing.plaf.InsetsUIResource[top=0,left=0,bottom=0,right=0],selectedTextColor=sun.swing.PrintColorUIResource[r=51,g=51,b=51],selectionColor=javax.swing.plaf.ColorUIResource[r=184,g=207,b=229],columns=0,columnWidth=0,command=,horizontalAlignment=LEADING]login successful
2021-09-22 08:49:28 INFO  GUI:157 - Application Closed By User
2021-09-22 08:49:32 INFO  GUI:148 - GUI Initialized
2021-09-22 08:50:04 INFO  GUI:148 - GUI Initialized
2021-09-22 08:50:18 INFO  GUI:148 - GUI Initialized
2021-09-22 08:50:31 INFO  GUI:148 - GUI Initialized
2021-09-22 08:50:49 INFO  GUI:148 - GUI Initialized
2021-09-22 08:51:04 INFO  GUI:148 - GUI Initialized
2021-09-22 08:51:23 INFO  GUI:148 - GUI Initialized
2021-09-22 08:51:34 INFO  GUI:148 - GUI Initialized
2021-09-22 08:51:54 INFO  GUI:148 - GUI Initialized
2021-09-22 08:52:12 INFO  GUI:148 - GUI Initialized
2021-09-22 08:52:37 INFO  GUI:148 - GUI Initialized
2021-09-22 08:52:41 INFO  GUI:157 - Application Closed By User
2021-09-22 08:52:46 INFO  GUI:148 - GUI Initialized
2021-09-22 08:53:50 INFO  GUI:148 - GUI Initialized
2021-09-22 08:54:51 INFO  GUI:149 - GUI Initialized
2021-09-22 08:55:04 INFO  GUI:158 - Application Closed By User
2021-09-22 08:56:55 INFO  GUI:149 - GUI Initialized
2021-09-22 08:56:59 INFO  GUI:158 - Application Closed By User
2021-09-22 08:57:11 INFO  GUI:148 - GUI Initialized
2021-09-22 09:01:35 INFO  GUI:148 - GUI Initialized
2021-09-22 09:02:02 INFO  GUI:148 - GUI Initialized
2021-09-22 09:02:21 INFO  GUI:148 - GUI Initialized
2021-09-22 09:02:37 INFO  GUI:148 - GUI Initialized
